mediaType,title,year,tags
MOVIE,King: A Filmed Record... Montgomery to Memphis,1970,National Film Registry
MOVIE,Wanda,1970,National Film Registry
MOVIE,Woodstock,1970,National Film Registry
MOVIE,A New Leaf,1971,National Film Registry
MOVIE,Dirty Harry,1971,National Film Registry
MOVIE,Growing Up Female,1971,National Film Registry
MOVIE,Harold and Maude,1971,National Film Registry
MOVIE,Shaft,1971,National Film Registry
MOVIE,Sweet Sweetback's Baadasssss Song,1971,National Film Registry
MOVIE,The Murder of Fred Hampton,1971,National Film Registry
MOVIE,Two-Lane Blacktop,1971,National Film Registry
MOVIE,Willy Wonka & the Chocolate Factory,1971,National Film Registry
MOVIE,Film Portrait,1972,National Film Registry
MOVIE,Pink Flamingos,1972,National Film Registry
MOVIE,Super Fly,1972,National Film Registry
MOVIE,Badlands,1973,National Film Registry
MOVIE,Enter the Dragon,1973,National Film Registry
MOVIE,Ganja & Hess,1973,National Film Registry
MOVIE,Mean Streets,1973,National Film Registry
MOVIE,The Long Goodbye,1973,National Film Registry
MOVIE,The Spook Who Sat by the Door,1973,National Film Registry
MOVIE,Wattstax,1973,National Film Registry
MOVIE,Antonia: A Portrait of the Woman,1974,National Film Registry
MOVIE,Attica,1974,National Film Registry
MOVIE,Hearts and Minds,1974,National Film Registry
MOVIE,The Texas Chain Saw Massacre,1974,National Film Registry
MOVIE,Uptown Saturday Night,1974,National Film Registry
MOVIE,Cooley High,1975,National Film Registry
MOVIE,"Eadweard Muybridge, Zoopraxographer",1975,National Film Registry
MOVIE,Grey Gardens,1975,National Film Registry
MOVIE,The Buffalo Creek Flood: An Act of Man,1975,National Film Registry
MOVIE,The Rocky Horror Picture Show,1975,National Film Registry
MOVIE,Chulas Fronteras,1976,National Film Registry
MOVIE,"Harlan County, USA",1976,National Film Registry
MOVIE,"Please, Don't Bury Me Alive!",1976,National Film Registry
MOVIE,The Outlaw Josey Wales,1976,National Film Registry
MOVIE,Time and Dreams,1976,National Film Registry
MOVIE,Union Maids,1976,National Film Registry
MOVIE,Alambrista!,1977,National Film Registry
MOVIE,Eraserhead,1977,National Film Registry
MOVIE,Passing Through,1977,National Film Registry
MOVIE,Word Is Out: Stories of Some of Our Lives,1977,National Film Registry
MOVIE,Days of Heaven,1978,National Film Registry
MOVIE,Girlfriends,1978,National Film Registry
MOVIE,Grease,1978,National Film Registry
MOVIE,Halloween,1978,National Film Registry
MOVIE,Killer of Sheep,1978,National Film Registry
MOVIE,National Lampoon's Animal House,1978,National Film Registry
MOVIE,Superman,1978,National Film Registry
MOVIE,The Last Waltz,1978,National Film Registry
MOVIE,Up in Smoke,1978,National Film Registry
MOVIE,Alien,1979,National Film Registry
MOVIE,Boulevard Nights,1979,National Film Registry
MOVIE,Bush Mama,1979,National Film Registry
MOVIE,Richard Pryor: Live in Concert,1979,National Film Registry
MOVIE,The Muppet Movie,1979,National Film Registry
MOVIE,The Wobblies,1979,National Film Registry
MOVIE,Airplane!,1980,National Film Registry
MOVIE,Garlic Is as Good as Ten Mothers,1980,National Film Registry
MOVIE,Return of the Secaucus 7,1980,National Film Registry
MOVIE,The Blues Brothers,1980,National Film Registry
MOVIE,The Empire Strikes Back,1980,National Film Registry
MOVIE,The Life and Times of Rosie the Riveter,1980,National Film Registry
MOVIE,The Shining,1980,National Film Registry
MOVIE,Brooklyn Bridge,1981,National Film Registry
MOVIE,The Decline of Western Civilization,1981,National Film Registry
MOVIE,Will,1981,National Film Registry
MOVIE,Zoot Suit,1981,National Film Registry
MOVIE,Blade Runner,1982,National Film Registry
MOVIE,Chan Is Missing,1982,National Film Registry
MOVIE,Fast Times at Ridgemont High,1982,National Film Registry
MOVIE,Koyaanisqatsi,1982,National Film Registry
MOVIE,Losing Ground,1982,National Film Registry
MOVIE,"Say Amen, Somebody",1982,National Film Registry
MOVIE,Star Trek II: The Wrath of Khan,1982,National Film Registry
MOVIE,The Atomic Cafe,1982,National Film Registry
MOVIE,The Ballad of Gregorio Cortez,1982,National Film Registry
MOVIE,The Thing,1982,National Film Registry
MOVIE,A Christmas Story,1983,National Film Registry
MOVIE,Return of the Jedi,1983,National Film Registry
MOVIE,A Nightmare on Elm Street,1984,National Film Registry
MOVIE,Before Stonewall,1984,National Film Registry
MOVIE,Bless Their Little Hearts,1984,National Film Registry
MOVIE,Ghostbusters,1984,National Film Registry
MOVIE,Purple Rain,1984,National Film Registry
MOVIE,Stop Making Sense,1984,National Film Registry
MOVIE,Stranger Than Paradise,1984,National Film Registry
MOVIE,The Terminator,1984,National Film Registry
MOVIE,The Times of Harvey Milk,1984,National Film Registry
MOVIE,This Is Spinal Tap,1984,National Film Registry
MOVIE,Desperately Seeking Susan,1985,National Film Registry
MOVIE,The Breakfast Club,1985,National Film Registry
MOVIE,The Goonies,1985,National Film Registry
MOVIE,Ferris Bueller's Day Off,1986,National Film Registry
MOVIE,She's Gotta Have It,1986,National Film Registry
MOVIE,Sherman's March,1986,National Film Registry
MOVIE,Top Gun,1986,National Film Registry
MOVIE,Dirty Dancing,1987,National Film Registry
MOVIE,La Bamba,1987,National Film Registry
MOVIE,Matewan,1987,National Film Registry
MOVIE,The Princess Bride,1987,National Film Registry
MOVIE,Who Killed Vincent Chin?,1987,National Film Registry
MOVIE,Die Hard,1988,National Film Registry
MOVIE,Drums of Winter,1988,National Film Registry
MOVIE,Hairspray,1988,National Film Registry
MOVIE,The Thin Blue Line,1988,National Film Registry
MOVIE,"Thelonious Monk: Straight, No Chaser",1988,National Film Registry
MOVIE,Who Framed Roger Rabbit,1988,National Film Registry
MOVIE,Common Threads: Stories from the Quilt,1989,National Film Registry
MOVIE,Powwow Highway,1989,National Film Registry
MOVIE,Roger & Me,1989,National Film Registry
MOVIE,The Little Mermaid,1989,National Film Registry
MOVIE,Home Alone,1990,National Film Registry
MOVIE,House Party,1990,National Film Registry
MOVIE,Paris Is Burning,1990,National Film Registry
MOVIE,Slacker,1990,National Film Registry
MOVIE,To Sleep with Anger,1990,National Film Registry
MOVIE,Daughters of the Dust,1991,National Film Registry
MOVIE,My Own Private Idaho,1991,National Film Registry
MOVIE,Queen of Diamonds,1991,National Film Registry
MOVIE,Terminator 2: Judgment Day,1991,National Film Registry
MOVIE,A League of Their Own,1992,National Film Registry
MOVIE,American Me,1992,National Film Registry
MOVIE,El Mariachi,1992,National Film Registry
MOVIE,Groundhog Day,1993,National Film Registry
MOVIE,Jurassic Park,1993,National Film Registry
MOVIE,The Joy Luck Club,1993,National Film Registry
MOVIE,The Nightmare Before Christmas,1993,National Film Registry
MOVIE,The Wedding Banquet,1993,National Film Registry
MOVIE,Clerks,1994,National Film Registry
MOVIE,Hoop Dreams,1994,National Film Registry
MOVIE,Maya Lin: A Strong Clear Vision,1994,National Film Registry
MOVIE,The Devil Never Sleeps,1994,National Film Registry
MOVIE,The Lion King,1994,National Film Registry
MOVIE,Before Sunrise,1995,National Film Registry
MOVIE,Clueless,1995,National Film Registry
MOVIE,My Family,1995,National Film Registry
MOVIE,The Watermelon Woman,1996,National Film Registry
MOVIE,4 Little Girls,1997,National Film Registry
MOVIE,Eve's Bayou,1997,National Film Registry
MOVIE,Selena,1997,National Film Registry
MOVIE,Rushmore,1998,National Film Registry
MOVIE,Smoke Signals,1998,National Film Registry
MOVIE,The Big Lebowski,1998,National Film Registry
MOVIE,Buena Vista Social Club,1999,National Film Registry
MOVIE,Compensation,1999,National Film Registry
MOVIE,The Matrix,1999,National Film Registry
MOVIE,Bamboozled,2000,National Film Registry
MOVIE,Into the Arms of Strangers: Stories of the Kindertransport,2000,National Film Registry
MOVIE,Love & Basketball,2000,National Film Registry
MOVIE,Spy Kids,2001,National Film Registry
MOVIE,Real Women Have Curves,2002,National Film Registry
MOVIE,The Fog of War,2003,National Film Registry
MOVIE,Mauna Kea: Temple Under Siege,2006,National Film Registry
MOVIE,Iron Man,2008,National Film Registry
MOVIE,The Wrecking Crew,2008,National Film Registry
MOVIE,Freedom Riders,2010,National Film Registry
MOVIE,Pariah,2011,National Film Registry
MOVIE,The Loving Story,2011,National Film Registry
MOVIE,20 Feet from Stardom,2013,National Film Registry
